"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @springflowerjay: JAY vibing to J-HOPE performing Arson was featured on a clip posted by MAMA on TikTok. 

#ENHYPEN_JAY #JHOPE #MAMA2022…",FALSE,0,NA,2022-12-05 01:21:24,FALSE,NA,"1599574626237296641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pshbeloved_",181,TRUE,FALSE,NA,NA
"RT @sevendless: Jackson’s Instagram story 😭😭😭

“#IGOT7 Thank u for making this happen
I appreciate it a lot
The only reason why this would…",FALSE,0,NA,2022-12-05 00:53:42,FALSE,NA,"1599567656843382785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tingtinglim1",636,TRUE,FALSE,NA,NA
"RT @MayflowerCruise: Did you have a nice weekend? 
If not, then 1 Thessalonians 5:16-18 can help. “Rejoice always, pray continually, give t…",FALSE,0,NA,2022-12-05 00:51:32,FALSE,NA,"1599567113084993536",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","travisdon1981",37,TRUE,FALSE,NA,NA
"RT @Jongdaisy_: SHUHUA IS THE REASON I AM GAY!

#MAMA2022 #GIDLEatMAMA2022 #Gidle https://t.co/iosv21bM72",FALSE,0,NA,2022-12-05 00:38:41,FALSE,NA,"1599563878207459328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taecuIon",427,TRUE,FALSE,NA,NA
"RT @woong8190: [2022 MAMA] Lim Young Woong X Monika - If We Ever Meet Again | Mnet 2211... https://t.co/P5SI7AU2ck 출처 @YouTube 
임영웅 [ 2022…",FALSE,0,NA,2022-12-05 00:10:53,FALSE,NA,"1599556881470853120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","woong5802",2,TRUE,FALSE,NA,NA
"RT @woong8190: [2022 MAMA] Lim Young Woong X Monika - If We Ever Meet Again | Mnet 2211... https://t.co/P5SI7AU2ck 출처 @YouTube 
임영웅 [ 2022…",FALSE,0,NA,2022-12-05 00:10:42,FALSE,NA,"1599556834196475904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","woong8190",2,TRUE,FALSE,NA,NA
"[2022 MAMA] Lim Young Woong X Monika - If We Ever Meet Again | Mnet 2211... https://t.co/P5SI7AU2ck 출처 @YouTube 
임영… https://t.co/GtAreG1ewR",FALSE,3,NA,2022-12-05 00:10:30,TRUE,NA,"1599556783668092928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","woong8190",2,FALSE,FALSE,NA,NA
"RT @NINIROLLZ: #EUNCHAE Twitter &amp; Weverse Update wallpapers/lockscreens

#LESSERAFIM #르세라핌 #HONGEUNCHAE #홍은채 #LESSERAFIM_MAMA2022 #MAMA2022…",FALSE,0,NA,2022-12-05 00:04:21,FALSE,NA,"1599555239106838528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KpEun2",1,TRUE,FALSE,NA,NA
"RT @NINIROLLZ: #EUNCHAE Twitter &amp; Weverse Update wallpapers/lockscreens

#LESSERAFIM #르세라핌 #HONGEUNCHAE #홍은채 #LESSERAFIM_MAMA2022 #MAMA2022…",FALSE,0,NA,2022-12-05 00:04:18,FALSE,NA,"1599555224900730881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KpEun2",3,TRUE,FALSE,NA,NA
"RT @ddia__ryy: During MMA, I just refer him as ""Man that received many awards"" and after listen to his performance during MMA, I just think…",FALSE,0,NA,2022-12-04 23:57:05,FALSE,NA,"1599553406833606656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","og_yuseong",66,TRUE,FALSE,NA,NA
